CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
CP04522	Liquefied hydrocarbons (butane, propane, etc.)	Hydrocarbures liquéfiés(butanes, propanes, etc.)	Flüssige Kohlenwasserstoffe (Butan, Propan usw.)	Y	
CP0453	Liquid fuels	Combustibles liquides	Flüssige Brennstoffe	Y	
CP04530	Liquid fuels	Combustibles liquides	Flüssige Brennstoffe	Y	
CP0454	Solid fuels	Combustibles solides	Feste Brennstoffe	Y	
CP04541	Coal	Charbon	Kohle	Y	
CP04549	Other solid fuels	Autres combustibles solides	Sonstige feste Brennstoffe	Y	
CP0455	Heat energy	Energie thermique	Wärmeenergie	Y	
CP04550	Heat energy	Energie thermique	Wärmeenergie	Y	
CP05	Furnishings, household equipment and routine household maintenance	Meubles, articles de ménage et entretien courant du foyer	Hausrat und laufende Instandhaltung des Hauses	Y	
CP051	Furniture and furnishings, carpets and other floor coverings	Meubles, articles d'ameublement, tapis et autres revêtements de sol	Einrichtungsgegenstände, Bodenbeläge und Reparaturen	Y	
CP0511	Furniture and furnishings	Meubles, articles d'ameublement	Möbel und andere Einrichtungsgegenstände	Y	
CP05111	Household furniture	Meubles de maison	Wohnmöbel	Y	
CP05111A	Double bed frame, pressboard (1 piece)	Cadre de lit double, bois pressé (1 pièce)	Doppelbett, Pressspanplatte (1 Stück)	Y	
CP05111B	Sofa set (1 set)	Ensemble canapé (1 ensemble)	Sofa-Set (1 Set)	Y	
CP05111C	Kitchen table (1 piece)	Table de cuisine (1 pièce)	Küchentisch (1 Stück)	Y	
CP05111D	Kitchen chair (1 piece)	Chaise de cuisine (1 pièce)	Küchenstuhl (1 Stück)	Y	
CP05111E	Pocket spring mattress (1 piece)	Matelas à ressorts ensachés (1 pièce)	Taschenfederkernmatratze (1 Stück)	Y	
CP05111F	Wardrobe (1 piece)	Armoire (1 pièce)	Garderobe (1 Stück)	Y	
CP05111G	Armchair (1 piece)	Fauteuil (1 pièce)	Sessel (1 Stück)	Y	
CP05111H	Coffee table (1 piece)	Table basse (1 pièce)	Couchtisch (1 Stück)	Y	
CP05111I	Bookcase (1 piece)	Bibliothèque (1 pièce)	Bücherregal (1 Stück)	Y	
CP05112	Garden furniture	Meubles de jardin	Gartenmöbel	Y	
CP05113	Lighting equipment	Appareils d'éclairage	Beleuchtungskörper	Y	
CP05113A	Table lamp (1 piece)	Lampe de table (1 pièce)	Tischleuchte (1 Stück)	Y	
CP05119	Other furniture and furnishings	Autres meubles et articles d'ameublement	Sonstige Möbel und Einrichtungsgegenstände	Y	
CP0512	Carpets and other floor coverings	Tapis et revêtements de sol divers	Teppiche und andere Bodenbeläge	Y	
CP05121	Carpet and rugs	Tapis et moquettes	Teppiche und Vorleger	Y	
CP05122	Other floor coverings	Autres revêtements de sol	Sonstige Bodenbeläge	Y	
CP05123	Services of laying of fitted carpets and floor coverings	Services de pose de moquettes et revêtements de sol	Dienstleistungen zur Verlegung von Teppichböden und sonstigen Bodenbelägen	Y	
CP0513	Repair of furniture, furnishings and floor coverings	Réparation des meubles, articles d'ameublement et revêtements de sol	Reparatur von Einrichtungsgegenständen und Bodenbelägen	Y	
CP05130	Repair of furniture, furnishings and floor coverings	Réparation des meubles, articles d'ameublement et revêtements de sol	Reparatur von Möbel,  Einrichtungsgegenständen und Bodenbelägen	Y	
CP052	Household textiles	Articles de ménage en textiles	Heimtextilien	Y	
CP0520	Household textiles	Articles de ménage en textiles	Heimtextilien	Y	
CP05201	Furnishings fabrics and curtains	Tissus d'ameublement et rideaux	Möbelstoffe und Gardinen	Y	
CP05201A	Curtain material (1 m2)	Tissu à rideau (1 m2)	Vorhangmaterial (1 m2)	Y	
